PhoneNumberValue|StatusID
691-9097|1
882-1855|1
470-8452|1
188-5463|1
308-5181|1
540-9994|1
219-7489|1
973-2906|1
666-4680|1
449-7360|1
643-7953|1
986-7752|1
316-8600|1
555-4120|1
477-2304|1
747-1362|1
871-1132|1
585-1751|1
419-7179|1
832-3165|1
460-1213|1
365-5444|1
212-3215|1
901-3243|1
326-6641|1
634-5956|1
734-9185|1
793-5782|1
905-1587|1
331-6671|1
852-4842|1
607-1950|1
375-2122|1
682-6349|1
111-9701|1
997-3586|1
588-7851|1
658-1982|1
385-6669|1
486-4596|1
130-8811|1
685-1489|1
595-7192|1
146-3584|1
474-1518|1
617-7822|1
933-9082|1
309-7431|1
935-2933|1
345-3216|1
847-8893|1
300-6514|1
260-4256|1
948-5018|1
941-5425|1
738-2846|1
114-7686|1
934-5524|1
685-8213|1
772-7505|1
554-3502|1
141-2982|1
730-2740|1
629-4567|1
686-9853|1
260-3675|1
455-2960|1
339-3312|1
643-9128|1
301-6147|1
615-4878|1
165-4943|1
241-9007|1
157-1082|1
646-4844|1
528-3479|1
145-5248|1
937-4173|1
846-3147|1
944-4976|1
132-5294|1
670-1140|1
781-6213|1
354-1189|1
956-3974|1
997-6934|1
240-2152|1
869-2562|1
376-6785|1
220-3185|1
232-2970|1
958-1256|1
451-9758|1
443-7465|1
976-7901|1
187-9810|1
366-8490|1
272-8037|1
720-2623|1
569-3939|1
898-6609|1
411-2223|1
963-9975|1
708-6465|1
476-7979|1
938-8935|1
684-2892|1
150-8538|1
658-9603|1
220-3380|1
305-8820|1
134-5447|1
423-6649|1
683-2232|1
748-6578|1
903-7957|1
913-7824|1
907-8853|1
737-8476|1
933-7530|1
428-8431|1
508-5032|1
135-4414|1
382-6143|1
798-1000|1
714-4025|1
267-7544|1
487-3068|1
594-3984|1
577-3969|1
378-4906|1
505-3554|1
324-3395|1
538-8682|1
752-6307|1
140-2089|1
138-1239|1
611-7662|1
997-9408|1
303-9141|1
767-5582|1
656-1044|1
416-3923|1
785-4900|1
141-7289|1
810-7350|1
387-5541|1
211-5385|1
251-7675|1
913-5086|1
743-1201|1
149-7702|1
409-1964|1
144-7235|1
240-3529|1
481-5695|1
212-2868|1
