SocialSecurityNumberValue|StatusID
230-17-8828|1
185-79-7126|1
369-45-9287|1
744-03-5510|1
735-05-0859|1
320-28-2782|1
846-51-1048|1
407-96-9689|1
977-23-8810|1
996-41-3869|1
880-75-7991|1
389-20-3004|1
212-64-6560|1
725-13-4591|1
273-78-8938|1
647-33-6490|1
963-36-8057|1
060-03-3895|1
153-82-1993|1
913-21-5635|1
831-37-0423|1
542-86-2742|1
752-35-8522|1
785-11-6404|1
622-13-3839|1
646-14-1802|1
076-33-8949|1
232-04-0468|1
581-82-7233|1
410-24-3697|1
102-30-4348|1
093-89-7540|1
417-73-9202|1
620-89-9833|1
797-18-2513|1
166-44-9027|1
006-51-6885|1
020-84-8768|1
668-60-3401|1
995-96-0438|1
551-34-1109|1
483-68-8105|1
206-53-2284|1
630-23-4035|1
260-46-4358|1
911-44-8551|1
795-42-3821|1
820-40-7285|1
681-09-4590|1
558-42-2937|1
414-42-7699|1
876-07-5525|1
872-32-4934|1
441-96-9083|1
674-38-2785|1
285-76-3832|1
441-75-1644|1
485-20-5449|1
662-73-9382|1
382-80-6022|1
352-65-1055|1
934-22-8074|1
633-38-3868|1
883-04-1209|1
362-36-4562|1
474-15-0284|1
450-40-3230|1
076-12-6671|1
130-92-2213|1
225-22-3384|1
614-49-5130|1
891-09-3120|1
803-74-1599|1
471-65-3755|1
996-56-7179|1
044-13-8452|1
089-19-5842|1
910-93-4052|1
280-28-5308|1
438-80-2867|1
586-41-1689|1
049-27-5488|1
608-47-2656|1
145-67-4065|1
868-97-7446|1
947-08-5591|1
949-09-8060|1
376-14-0268|1
754-70-5579|1
108-61-8136|1
781-37-9341|1
873-88-2430|1
207-94-2889|1
169-44-6525|1
580-94-5170|1
178-05-9533|1
660-33-1962|1
971-49-7197|1
481-21-2724|1
142-30-5646|1
990-50-8586|1
452-36-3065|1
472-99-0941|1
502-74-1316|1
270-78-6502|1
154-79-1917|1
510-58-6628|1
605-45-2800|1
617-81-8753|1
215-39-6747|1
970-07-6536|1
724-18-9354|1
794-13-5815|1
211-70-0462|1
859-16-5911|1
